tradeDate,ticker,iv30d,iv60d,iv90d
2025-01-02,FTNT,28.42,42.58,39.87
2025-01-03,FTNT,30.55,41.91,38.95
2025-01-06,FTNT,41.51,42.8,40.11
2025-01-07,FTNT,45.14,43.27,40.75
2025-01-08,FTNT,47.69,42.11,40.78
2025-01-10,FTNT,51.83,42.89,41.08
2025-01-13,FTNT,52.13,43.1,41.33
2025-01-14,FTNT,52.97,43.34,41.51
2025-01-15,FTNT,51.91,42.13,38.64
2025-01-16,FTNT,52.15,41.87,38.07
2025-01-17,FTNT,52.64,41.95,38.02
2025-01-21,FTNT,51.87,41.42,37.64
2025-01-22,FTNT,53.78,42.42,38.67
2025-01-23,FTNT,53.86,42.88,38.92
2025-01-24,FTNT,53.96,43.09,39.29
2025-01-27,FTNT,55.85,44.78,40.99
2025-01-28,FTNT,56.07,45.14,41.17
2025-01-29,FTNT,56.03,45.11,41.45
2025-01-30,FTNT,55.96,45.67,42.32
2025-01-31,FTNT,54.63,45.4,42.56
2025-02-03,FTNT,56.16,46.09,43.34
2025-02-04,FTNT,56.25,45.81,42.97
2025-02-05,FTNT,57.63,45.9,43.11
2025-02-06,FTNT,55.85,44.58,42.16
2025-02-07,FTNT,29.9,29.64,31.55
2025-02-10,FTNT,29.28,29.6,32.08
2025-02-11,FTNT,28.09,28.32,31.21
2025-02-12,FTNT,29.37,28.84,35.68
2025-02-13,FTNT,29.03,28.65,36.81
2025-02-14,FTNT,28.93,28.42,37.33
2025-02-18,FTNT,31.13,30.82,39.31
2025-02-19,FTNT,30.32,30.37,38.76
2025-02-20,FTNT,30.86,31.17,39.45
2025-02-21,FTNT,31.84,32.08,39.85
2025-02-24,FTNT,32.1,33.58,40.06
2025-02-25,FTNT,32.94,34.4,40.3
2025-02-26,FTNT,32.27,34.52,39.95
2025-02-27,FTNT,33.73,35.84,40.94
2025-02-28,FTNT,33.24,35.81,40.8
2025-03-03,FTNT,35.61,38.46,41.82
2025-03-04,FTNT,35.71,38.93,41.59
2025-03-05,FTNT,34.51,39.41,41.65
2025-03-06,FTNT,37.35,39.83,42.5
2025-03-07,FTNT,37.81,40.41,42.87
2025-03-10,FTNT,42.88,45.83,45.29
2025-03-11,FTNT,41.42,44.59,44.12
2025-03-12,FTNT,38.94,44.42,43.37
2025-03-13,FTNT,40.13,45.84,44.43
2025-03-14,FTNT,36.3,44.35,42.45
2025-03-17,FTNT,34.32,45.11,41.43
2025-03-18,FTNT,35.22,46.38,42.17
2025-03-19,FTNT,33.15,45.55,41.07
2025-03-20,FTNT,32.65,45.21,40.59
2025-03-21,FTNT,31.97,45.18,40.69
2025-03-24,FTNT,30.46,43.73,39.26
2025-03-25,FTNT,30.34,43.67,39.33
2025-03-26,FTNT,30.34,44.17,39.85
2025-03-27,FTNT,31.09,44.24,40.04
2025-03-28,FTNT,34.95,45.86,41.69
2025-03-31,FTNT,40.05,46.64,42.22
2025-04-01,FTNT,39.91,45.79,41.53
2025-04-02,FTNT,33.96,45.98,41.97
2025-04-03,FTNT,43.49,51.73,47.86
2025-04-04,FTNT,57.57,58.87,53.82
2025-04-07,FTNT,63.52,58.12,53.97
2025-04-08,FTNT,72.94,60.37,55.63
2025-04-09,FTNT,58.09,48.6,44.28
2025-04-10,FTNT,64.27,52.68,47.09
2025-04-11,FTNT,64.11,52.1,46.9
2025-04-14,FTNT,59.57,48.78,43.88
2025-04-15,FTNT,57.07,47.12,42.54
2025-04-16,FTNT,60.26,49.71,44.65
2025-04-17,FTNT,57.99,48.7,43.78
2025-04-21,FTNT,62.21,50.98,46.29
2025-04-22,FTNT,59.91,48.68,45.25
2025-04-23,FTNT,59.13,47.36,43.94
2025-04-24,FTNT,56.63,46,42.06
2025-04-25,FTNT,55.86,44.82,41.58
2025-04-28,FTNT,56.6,45.56,42.8
2025-04-29,FTNT,54.97,45.03,42.74
2025-04-30,FTNT,55.4,45.67,43.54
2025-05-01,FTNT,53.79,44.37,42.73
2025-05-02,FTNT,52.52,42.63,41.73
2025-05-05,FTNT,52.24,42.93,42.26
2025-05-06,FTNT,54.51,44.48,44.07
2025-05-07,FTNT,52.42,42.98,42.94
2025-05-08,FTNT,31.66,29.85,34.7
2025-05-09,FTNT,30.25,30.26,35.93
2025-05-12,FTNT,28.86,27.1,34.45
2025-05-13,FTNT,28.3,27.79,35.25
2025-05-14,FTNT,29.11,28.4,36.74
2025-05-15,FTNT,28.1,28.16,36.48
2025-05-16,FTNT,28.17,28.21,37.19
2025-05-19,FTNT,28.58,28.7,37.99
2025-05-20,FTNT,30.04,29.19,38.37
2025-05-21,FTNT,30.94,30.43,39.05
2025-05-22,FTNT,29.95,30.6,38.76
2025-05-23,FTNT,30.72,31.72,39.47
