tradeDate,ticker,iv30d,iv60d,iv90d
2024-12-17,FDX,53.77,43.93,40.84
2024-12-18,FDX,54.29,44.3,41.34
2024-12-19,FDX,59.04,45.11,42.06
2024-12-20,FDX,22.38,22.14,28.01
2024-12-23,FDX,21.84,21.78,29.12
2024-12-24,FDX,19.66,20.32,28.15
2024-12-26,FDX,20.49,21.74,28.71
2024-12-27,FDX,20.9,22.05,28.97
2024-12-30,FDX,21.7,22.91,28.8
2024-12-31,FDX,21.89,23.4,29.66
2025-01-02,FDX,21.93,24.51,29.27
2025-01-03,FDX,21.49,24.42,28.77
2025-01-06,FDX,22.09,25.61,28.91
2025-01-07,FDX,22.48,26.09,28.75
2025-01-08,FDX,22.84,25.28,28.8
2025-01-10,FDX,23.54,26.95,29.42
2025-01-13,FDX,23.48,27.93,29.11
2025-01-14,FDX,23.06,27.7,28.83
2025-01-15,FDX,21.65,26.84,27.55
2025-01-16,FDX,21.04,27.15,27.39
2025-01-17,FDX,20.7,27.34,27.1
2025-01-21,FDX,21.25,28.57,26.66
2025-01-22,FDX,21.22,29.17,26.95
2025-01-23,FDX,21.06,29.09,27.15
2025-01-24,FDX,20.69,29.02,26.88
2025-01-27,FDX,21.71,29.5,27.05
2025-01-28,FDX,21.44,29.76,27.23
2025-01-29,FDX,22.2,30.01,27.76
2025-01-30,FDX,22.8,31.34,29.04
2025-01-31,FDX,23.45,32,29.5
2025-02-03,FDX,27.53,33.92,31
2025-02-04,FDX,25.13,32.96,30.57
2025-02-05,FDX,24.23,32.77,30.37
2025-02-06,FDX,22.61,32.37,29.95
2025-02-07,FDX,24.11,32.75,30.14
2025-02-10,FDX,23.29,32.06,29.66
2025-02-11,FDX,21.81,31.47,29.17
2025-02-12,FDX,21.69,31.52,29.03
2025-02-13,FDX,21.79,31.5,29.12
2025-02-14,FDX,23.25,31.48,29.27
2025-02-18,FDX,32.2,31.3,29.08
2025-02-19,FDX,34.89,31.35,29.09
2025-02-20,FDX,37.98,31.49,29.18
2025-02-21,FDX,44.16,35.5,32.25
2025-02-24,FDX,43.54,35.26,32.13
2025-02-25,FDX,43.19,35.39,32.03
2025-02-26,FDX,42.99,35.3,31.95
2025-02-27,FDX,43.89,36.18,32.71
2025-02-28,FDX,42.49,35.17,31.85
2025-03-03,FDX,43.68,36.45,33.03
2025-03-04,FDX,43.34,36.13,32.81
2025-03-05,FDX,42.94,36.15,32.56
2025-03-06,FDX,44.58,36.79,33.44
