tradeDate,ticker,iv30d,iv60d,iv90d
2024-08-12,SRE,19.38,18.77,18.93
2024-08-13,SRE,18.14,17.8,18.38
2024-08-14,SRE,17.71,18,18.31
2024-08-15,SRE,16.77,16.94,17.44
2024-08-16,SRE,15.7,14.65,14.3
2024-08-19,SRE,15.12,15.74,16.43
2024-08-20,SRE,15.04,16.26,17.09
2024-08-21,SRE,15.23,16.93,16.91
2024-08-22,SRE,15.76,17.21,17.46
2024-08-23,SRE,14.66,16.45,16.95
2024-08-26,SRE,15.93,14.83,16.16
2024-08-27,SRE,15.61,16.22,16.52
2024-08-28,SRE,15.95,17.09,17.4
2024-08-29,SRE,15.39,15.8,16.62
2024-08-30,SRE,12.3,9.45,13.72
2024-09-03,SRE,23.18,17.26,17.28
2024-09-04,SRE,16.94,17.43,17.38
2024-09-05,SRE,17.2,17.06,16.56
2024-09-06,SRE,18.28,18.21,17.89
2024-09-09,SRE,18.49,18.09,17.44
2024-09-10,SRE,20.06,19.62,19.84
2024-09-11,SRE,19.55,19.28,19.51
2024-09-12,SRE,19.27,19.14,18.99
2024-09-13,SRE,18.71,18.2,17.76
2024-09-16,SRE,17.88,17.85,18
2024-09-17,SRE,16.98,17.84,18.56
2024-09-18,SRE,19.21,19.05,18.93
2024-09-19,SRE,17.4,19.84,17.51
2024-09-20,SRE,14.61,18.98,18.11
2024-09-23,SRE,16.92,18.19,16
2024-09-24,SRE,17.71,18.8,16.44
2024-09-25,SRE,17.15,18.89,17.51
2024-09-26,SRE,18.59,19.66,19.04
2024-09-27,SRE,18.08,19.59,19.24
2024-09-30,SRE,19.15,19.87,19.23
2024-10-01,SRE,19.18,20.23,19.82
2024-10-02,SRE,20.17,20.69,19.59
2024-10-03,SRE,20.71,21.54,20.98
2024-10-04,SRE,19.94,20.01,19.08
2024-10-07,SRE,22.31,20.9,20.08
2024-10-08,SRE,21.79,20.85,19.9
2024-10-09,SRE,21.37,20.08,19.03
2024-10-10,SRE,21.16,20.21,19.47
2024-10-11,SRE,21.1,19.93,19.08
2024-10-14,SRE,21.34,19.77,18.74
2024-10-15,SRE,21.05,18.56,18.64
2024-10-16,SRE,20.33,16.64,17.95
2024-10-17,SRE,22.62,17.63,19.5
2024-10-18,SRE,24.25,21.69,19.07
2024-10-21,SRE,21.64,19.74,18.82
2024-10-22,SRE,23.1,20.13,19.05
2024-10-23,SRE,23.19,20.24,18.83
2024-10-24,SRE,21.56,18.86,18.82
2024-10-25,SRE,22.21,19.09,19.71
2024-10-28,SRE,23.16,20.93,19.6
2024-10-29,SRE,22.88,19.99,19.75
2024-10-30,SRE,23.1,20.63,20.1
2024-10-31,SRE,24.11,20.84,20.77
2024-11-01,SRE,26.08,22.55,20.98
2024-11-04,SRE,25.37,21.55,21.2
2024-11-05,SRE,23.78,20.32,20.63
2024-11-06,SRE,18.55,17.5,17.8
2024-11-07,SRE,17.58,17.22,17.08
2024-11-08,SRE,16.31,16.84,16.81
2024-11-11,SRE,17.87,17.34,17.5
2024-11-12,SRE,17.9,17.3,17.5
2024-11-13,SRE,17.62,17.05,17.36
2024-11-14,SRE,17.23,17.27,17.6
2024-11-15,SRE,17.49,17.2,17.66
2024-11-18,SRE,16.85,16.67,17.2
2024-11-19,SRE,16.71,16.47,17.07
2024-11-20,SRE,17.27,17.55,17.93
2024-11-21,SRE,16.96,17.52,17.71
2024-11-22,SRE,16.27,17.1,17.66
2024-11-25,SRE,16.42,17.37,18
2024-11-26,SRE,16.79,17.06,17.5
2024-11-27,SRE,15.9,17,17.43
2024-11-29,SRE,15.98,16.63,17.12
2024-12-02,SRE,17.53,17.82,18.14
2024-12-03,SRE,16.92,17.44,17.77
2024-12-04,SRE,17.03,17.72,17.94
2024-12-05,SRE,17.46,17.77,18.2
2024-12-06,SRE,17.39,17.5,17.87
2024-12-09,SRE,18.58,18.58,18.77
2024-12-10,SRE,17.94,19.74,19.61
2024-12-11,SRE,18.85,18.89,19.08
2024-12-12,SRE,18.42,18.46,18.65
2024-12-13,SRE,18.03,18.57,18.84
2024-12-16,SRE,18.51,18.78,19.19
2024-12-17,SRE,19.73,20.42,21
2024-12-18,SRE,21.51,20.82,20.26
2024-12-19,SRE,21.78,19.66,20.88
2024-12-20,SRE,19.9,19.82,19.67
2024-12-23,SRE,19.19,18.91,19.31
2024-12-24,SRE,17.85,18.21,18.38
2024-12-26,SRE,18.42,18.64,18.97
2024-12-27,SRE,19.15,19.06,19.1
2024-12-30,SRE,18.73,18.91,19.14
2024-12-31,SRE,18.91,18.46,18.75
2025-01-02,SRE,19.01,18.92,19.27
2025-01-03,SRE,18.3,18.36,18.52
2025-01-06,SRE,18.96,19.01,19.13
2025-01-07,SRE,19.11,19.11,19.11
2025-01-08,SRE,22.34,22.34,22.34
2025-01-10,SRE,27.83,26.85,25.41
2025-01-13,SRE,27.77,27.28,26.67
2025-01-14,SRE,27.33,26.91,26.42
2025-01-15,SRE,22.88,22.88,22.88
2025-01-16,SRE,22.02,22.24,22.48
2025-01-17,SRE,18.15,21.83,21.53
2025-01-21,SRE,23.88,23.88,22.59
2025-01-22,SRE,32.97,30.94,24.53
2025-01-23,SRE,25.2,25.02,23.99
2025-01-24,SRE,24.46,24.03,22.77
2025-01-27,SRE,28.42,27.17,25.86
2025-01-28,SRE,27.72,26.5,24.92
2025-01-29,SRE,27.73,26.6,24.81
2025-01-30,SRE,27.27,26.51,24.85
2025-01-31,SRE,26.6,25.94,24.67
2025-02-03,SRE,26.98,26.11,24.89
2025-02-04,SRE,27.62,26.22,24.68
2025-02-05,SRE,24.78,24.78,24.4
2025-02-06,SRE,26.53,25.11,23.95
2025-02-07,SRE,26.42,25.23,24.27
2025-02-10,SRE,26.15,24.94,24.01
2025-02-11,SRE,24.94,24.46,23.74
2025-02-12,SRE,25.22,24.5,23.85
2025-02-13,SRE,24.66,23.54,22.95
2025-02-14,SRE,24.38,23.44,23
2025-02-18,SRE,24.41,23.6,23.15
2025-02-19,SRE,24.44,22.9,22.78
2025-02-20,SRE,24.49,23.15,22.89
2025-02-21,SRE,26.19,24.3,23.81
2025-02-24,SRE,25.92,23.41,23.04
2025-02-25,SRE,30.48,28.18,27.7
2025-02-26,SRE,27.18,25.42,25.3
2025-02-27,SRE,27.28,25.46,25.4
2025-02-28,SRE,26.63,24.76,24.61
2025-03-03,SRE,25.49,23.99,24.3
2025-03-04,SRE,25,24.27,24.46
2025-03-05,SRE,22.81,23.44,23.78
2025-03-06,SRE,24.73,24.29,24.66
2025-03-07,SRE,25.25,25.03,25.05
2025-03-10,SRE,28.18,27.22,27.41
2025-03-11,SRE,28.12,28.08,28.04
2025-03-12,SRE,26.93,27.17,27.42
2025-03-13,SRE,28.5,27.93,27.37
2025-03-14,SRE,26.05,26.53,26.98
2025-03-17,SRE,24.99,25.46,25.85
2025-03-18,SRE,25.68,26.08,26.4
2025-03-19,SRE,23.59,23.79,23.95
2025-03-20,SRE,22.04,26.15,24.53
2025-03-21,SRE,25.5,25.36,24.06
2025-03-24,SRE,24.27,24.1,23.34
2025-03-25,SRE,23.73,23.61,23.17
2025-03-26,SRE,23.65,23.45,22.8
2025-03-27,SRE,22.42,22.47,22.6
2025-03-28,SRE,24.81,24.53,23.82
