tradeDate,ticker,iv30d,iv60d,iv90d
2024-08-06,SOFI,57.02,56.44,59.2
2024-08-07,SOFI,59.01,56.97,60.42
2024-08-08,SOFI,53.08,56.18,57.65
2024-08-09,SOFI,50.47,51.81,56.86
2024-08-12,SOFI,48.6,48.28,56.28
2024-08-13,SOFI,46.5,47.59,55.82
2024-08-14,SOFI,45.35,46.31,53.62
2024-08-15,SOFI,40.22,45.52,53.52
2024-08-16,SOFI,40.13,44.96,51.99
2024-08-19,SOFI,42.2,44.6,52.28
2024-08-20,SOFI,41.94,46.86,52.71
2024-08-21,SOFI,42.67,48.46,53.33
2024-08-22,SOFI,42.88,46.71,54.19
2024-08-23,SOFI,42.96,46.33,53.43
2024-08-26,SOFI,42.58,47.39,52.93
2024-08-27,SOFI,41.79,48.4,53.73
2024-08-28,SOFI,44.77,50.34,55.36
2024-08-29,SOFI,45.86,50.79,54.97
2024-08-30,SOFI,44.56,49.91,53.8
2024-09-03,SOFI,48.13,54.14,55.86
2024-09-04,SOFI,48.63,54.74,56.85
2024-09-05,SOFI,49.22,53.77,57.1
2024-09-06,SOFI,50.27,57.31,59.55
2024-09-09,SOFI,50.78,58.17,59.29
2024-09-10,SOFI,50.47,58.09,58.74
2024-09-11,SOFI,49.37,58.69,58.53
2024-09-12,SOFI,47.17,56.17,56.84
2024-09-13,SOFI,45.73,56.41,55.85
2024-09-16,SOFI,49.51,58.9,56.36
2024-09-17,SOFI,50.03,58.42,55.37
2024-09-18,SOFI,49.27,57.42,54.72
2024-09-19,SOFI,48.75,56.07,53.75
2024-09-20,SOFI,45.93,55.01,52.43
2024-09-23,SOFI,43.58,53.86,51.4
2024-09-24,SOFI,44,56.11,54.19
2024-09-25,SOFI,44.66,56.8,53.11
2024-09-26,SOFI,43.71,56.4,53.19
2024-09-27,SOFI,46.57,57.66,54.32
2024-09-30,SOFI,52.67,59.07,55.35
2024-10-01,SOFI,56.55,58.59,53.69
2024-10-02,SOFI,56.66,58.99,54.69
2024-10-03,SOFI,59.06,62.66,55.77
2024-10-04,SOFI,59.21,58.51,54.23
2024-10-07,SOFI,64.57,60.53,56.28
2024-10-08,SOFI,65.57,59.52,54.93
2024-10-09,SOFI,66.07,60.08,55.7
2024-10-10,SOFI,68.31,62.02,56.62
2024-10-11,SOFI,67.97,58.92,55.79
2024-10-14,SOFI,69.14,60.95,57.73
2024-10-15,SOFI,73.96,62.2,58.93
2024-10-16,SOFI,67.53,60.07,57.72
2024-10-17,SOFI,69.41,60.76,57.97
2024-10-18,SOFI,66.21,59.17,57.43
2024-10-21,SOFI,70.07,61.25,58.39
2024-10-22,SOFI,66.38,59.99,56.59
2024-10-23,SOFI,69.55,62.71,58.75
2024-10-24,SOFI,72.5,62.3,60.35
2024-10-25,SOFI,72.04,63.58,62.28
2024-10-28,SOFI,74.51,63.61,61.4
2024-10-29,SOFI,56.33,55.15,55.62
2024-10-30,SOFI,54.72,52.9,52.98
2024-10-31,SOFI,54.69,54.46,54.92
2024-11-01,SOFI,54.38,53.66,54.33
2024-11-04,SOFI,52.73,51.52,52.49
2024-11-05,SOFI,53.66,52.03,53.99
2024-11-06,SOFI,47.44,48.68,50.54
2024-11-07,SOFI,47.93,46.94,48.36
2024-11-08,SOFI,53.41,52.9,53.98
2024-11-11,SOFI,62.88,57.4,58.52
2024-11-12,SOFI,61.7,56.45,58.35
2024-11-13,SOFI,58.4,57.44,59.11
2024-11-14,SOFI,56.92,54.71,57.5
2024-11-15,SOFI,60.35,58.48,62.17
2024-11-18,SOFI,59.94,58.97,61.63
2024-11-19,SOFI,59.33,57.96,61.07
2024-11-20,SOFI,60.53,57.89,62.07
2024-11-21,SOFI,60.28,61.02,63.9
2024-11-22,SOFI,60.98,60.75,66.08
2024-11-25,SOFI,62.43,63.36,68.66
2024-11-26,SOFI,59.59,62.88,67.79
2024-11-27,SOFI,59.12,62.91,67.46
2024-11-29,SOFI,57.32,62.74,67.68
2024-12-02,SOFI,60.19,65.2,68.78
2024-12-03,SOFI,57.72,64.69,68.29
2024-12-04,SOFI,56.93,63.9,67.13
2024-12-05,SOFI,59.12,69.83,69.92
2024-12-06,SOFI,60.35,68.02,70.2
2024-12-09,SOFI,63.01,68.87,70.7
2024-12-10,SOFI,63.66,69.71,70.58
2024-12-11,SOFI,63.34,69.02,70.03
2024-12-12,SOFI,66.16,72.68,71.89
2024-12-13,SOFI,62.24,71.18,69.55
2024-12-16,SOFI,65.85,74.79,73.38
2024-12-17,SOFI,69.13,79.9,77.39
2024-12-18,SOFI,75.9,83.75,79.8
2024-12-19,SOFI,72.51,81.31,78.71
2024-12-20,SOFI,66.35,77.82,75.46
