ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
MPC,2012-06-29,28.97,3.28943,4.03364,0.0898,0.0953,39.41,30.52,33.46,33,1.8
MPC,2012-07-02,25.56,2.45931,3.85205,0.0085,0.0769,39.54,31.18,32.39,31.23,1.7
MPC,2012-07-03,24.73,3.0825,4.02612,0.0857,0.0833,38.62,28.24,31.79,30.84,1.8
MPC,2012-07-05,26.65,3.17091,4.00907,0.0066,0.077,38.29,30.58,32.57,32.19,1.8
MPC,2012-07-06,25.87,3.36768,3.85428,0.0117,0.0323,37.33,30.83,31.89,31.48,1.8
MPC,2012-07-09,26.68,3.57014,3.87104,0.0575,0.0665,36.75,31.76,32.64,32.07,1.8
MPC,2012-07-10,27.12,3.00853,4.07004,0.1109,0.0689,36.58,33.01,33.54,32.71,1.8
MPC,2012-07-11,27.76,3.4374,4.16831,0.0641,0.0878,36.5,32.02,32.78,32.31,1.8
MPC,2012-07-12,28.74,3.18277,3.70184,0.0193,0.0333,35.67,33.53,33.73,33.28,1.8
MPC,2012-07-13,27.17,2.60993,3.68247,0.0875,0.0655,36.2,31.74,32.24,31.78,1.8
MPC,2012-07-16,26.76,2.36986,3.50851,0.0002,0.0992,37.2,32.76,32.32,31.75,1.8
MPC,2012-07-17,26.18,2.90796,3.66093,0.0395,0.0663,36.54,33.42,32.39,31.53,1.8
MPC,2012-07-18,25.14,3.70476,2.96172,0.1113,0.1926,36.61,31.72,31.16,30.72,1.7
MPC,2012-07-19,24.47,2.75333,3.67929,0.003,0.0779,37,33.14,32.04,31.2,1.8
MPC,2012-07-20,27.71,3.61236,3.60515,0.0476,0.074,36.79,32.35,32.04,31.79,1.8
MPC,2012-07-23,27.94,3.2043,3.50006,0.0855,0.1289,34.93,33.23,32.32,31.93,1.7
MPC,2012-07-24,27.54,2.83965,3.41758,0.0791,0.037,35.18,36.87,34.87,32.76,1.8
MPC,2012-07-25,33.6,3.5301,4.05619,0.0656,0.0841,36.81,36.47,34.35,34.74,1.8
MPC,2012-07-26,27.25,3.05575,3.98583,0.0226,0.0467,35.66,32.7,32.38,32,1.7
MPC,2012-07-27,28.96,2.47211,3.87525,0.0357,0.1291,36.26,32.11,31.42,31.96,1.7
MPC,2012-07-30,24.7,3.33576,4.24043,0.0637,0.0352,34.59,33.88,31.33,30.89,1.7
MPC,2012-07-31,23.47,3.99592,4.17603,0.1429,0.0617,34.8,31.76,29.89,30.01,1.7
MPC,2012-08-01,29.78,3.43558,3.87737,0.0303,0.032,34.81,30.35,29.9,30.27,1.7
MPC,2012-08-02,30.28,2.53416,4.32702,0.0329,0.0889,37.69,30.61,30.13,30.01,1.7
MPC,2012-08-03,27.4,1.73894,4.12968,0.0833,0.1373,38.4,29.42,28.07,28.96,1.6
MPC,2012-08-06,29.01,3.14035,4.10958,0.0888,0.1092,38.85,29.27,29.06,29.22,1.6
MPC,2012-08-07,31.11,2.33874,4.03758,0.082,0.0761,38.9,31.32,30.94,30.71,1.6
MPC,2012-08-08,31.72,2.28345,4.20432,0.1417,0.043,39.12,32.16,31.62,31.44,1.6
MPC,2012-08-09,30.73,2.40495,4.13691,0.0849,0.0414,39.11,31.21,30.72,30.73,1.6
MPC,2012-08-10,29.68,2.51558,4.4008,0.2018,0.0367,38.66,29.13,30.13,30.58,1.6
MPC,2012-08-13,29.14,2.50061,4.17362,0.04,0.0334,38.03,30.13,29.34,29.41,1.6
MPC,2012-08-14,30.15,2.81179,4.26454,0.0798,0.0466,38.12,30.06,30.5,30.43,1.6
MPC,2012-08-15,27.79,2.69953,4.46338,0.1306,0.0673,37.85,27.54,28.22,28.83,1.6
MPC,2012-08-16,28.01,3.05486,4.59162,0.0864,0.0601,36.73,27.88,28.59,29.05,1.6
MPC,2012-08-17,27.35,3.04369,4.47589,0.0445,0.0735,35.04,26.78,28.32,29.03,1.6
MPC,2012-08-20,28.26,4.14236,4.19146,0.0748,0.0604,35.29,28.41,28.62,29.19,1.6
MPC,2012-08-21,28.89,2.45946,4.23622,0.0001,0.0613,34.76,28.85,29.31,29.73,1.6
MPC,2012-08-22,28.52,3.11994,4.35805,0.0191,0.048,33.09,28.25,29.21,29.56,1.6
MPC,2012-08-23,28.33,3.00075,4.38796,0.0664,0.0655,33.39,27.64,29.36,29.86,1.6
MPC,2012-08-24,29.3,2.81545,4.3304,0.0446,0.0604,32.58,28.42,30.26,30.6,1.6
MPC,2012-08-27,29.12,3.14403,4.31591,0.0367,0.0771,31.79,29.39,29.25,29.88,1.6
MPC,2012-08-28,28.59,3.97298,4.46035,0.0382,0.093,31.65,28.69,29.05,29.48,1.6
MPC,2012-08-29,29.55,3.57607,4.48841,0.0212,0.0849,30.56,29.24,30.09,30.48,1.6
MPC,2012-08-30,29.26,1.96584,4.38418,0.1062,0.1039,26.09,29.11,29.67,30.08,1.6
MPC,2012-08-31,28.94,3.10121,4.75098,0.0729,0.0979,25.62,28.66,29.41,29.67,1.5
MPC,2012-09-04,30.51,3.69397,4.55704,0.0745,0.0785,24.91,31.05,30.68,31.09,1.6
MPC,2012-09-05,30.81,3.59656,4.55715,0.0878,0.0717,25.73,31.4,30.91,31.12,1.6
MPC,2012-09-06,28.8,3.07626,4.59678,0.122,0.0685,24.91,28.76,29.18,29.5,1.6
MPC,2012-09-07,27.33,3.43309,5.08928,0.1038,0.058,24.52,27.52,27.89,28.14,1.5
MPC,2012-09-10,28.56,4.12196,5.08826,0.0594,0.0713,24.77,28.79,28.81,28.96,1.5
MPC,2012-09-11,28.81,3.01062,5.02081,0.0001,0.0565,23.7,29.31,29.14,29.26,1.5
MPC,2012-09-12,28.6,3.55524,4.38706,0.1459,0.0832,24.04,28.55,28.79,28.99,1.5
MPC,2012-09-13,27.24,2.5184,4.55123,0.215,0.0853,23.98,28.36,27.82,27.93,1.5
MPC,2012-09-14,27.61,2.15591,4.58289,0.1515,0.0833,25.02,27.35,27.88,28.04,1.4
MPC,2012-09-17,30.11,3.31302,4.42896,0.1648,0.063,25.64,30.37,30.34,30.47,1.5
MPC,2012-09-18,32.44,3.19382,3.69456,0.0669,0.0788,27.68,33.72,32.33,31.17,1.5
MPC,2012-09-19,30.38,3.90188,4.56837,0.0241,0.0594,29.53,31.08,30.62,30.25,1.5
MPC,2012-09-20,29.97,4.36737,4.7065,0.0671,0.0727,29.76,30.48,30.3,30.15,1.5
MPC,2012-09-21,28.72,2.45669,4.04868,0.212,0.1078,29.66,29.45,29.12,28.86,1.5
MPC,2012-09-24,26.05,3.96792,4.04861,0.0721,0.0921,29.66,27.1,30.51,29.61,1.5
MPC,2012-09-25,27.22,4.17724,4.31698,0.1208,0.0923,29.55,28.62,30.89,30.01,1.5
MPC,2012-09-26,29.07,3.90558,4.26808,0.1467,0.0841,28.8,30.84,30.74,29.85,1.5
MPC,2012-09-27,25.07,3.1242,4.38623,0.1193,0.0764,29.67,27.44,29.83,28.64,1.5
MPC,2012-09-28,26.1,3.83398,4.52947,0.0133,0.0535,30.99,28.91,29.96,28.86,1.5
MPC,2012-10-01,27.42,3.62398,4.34615,0.109,0.0872,29.81,28.78,29.57,29.21,1.4
MPC,2012-10-02,25.85,4.31129,4.35435,0.0695,0.0953,30.03,29.28,29.68,28.46,1.4
MPC,2012-10-03,27.12,4.3216,4.22539,0.0445,0.0892,29.22,29.16,29.44,29.12,1.5
MPC,2012-10-04,26.67,2.40988,4.05721,0.0144,0.0333,29.46,31.96,32.08,29.93,1.4
MPC,2012-10-05,27.93,2.01172,3.33976,0.0481,0.0726,29.6,31.91,32.96,31.36,1.5
MPC,2012-10-08,30.36,0.946309,2.95481,0.0569,0.051,30.35,33.56,32.45,31.15,1.4
MPC,2012-10-09,29.75,1.14359,3.04816,0.0471,0.0918,34.81,33.74,32.64,31.45,1.4
MPC,2012-10-10,32.9,1.56663,2.97003,0.0749,0.0672,35.14,34.57,34.16,33.51,1.4
MPC,2012-10-11,29.72,1.96083,2.59421,0.0584,0.0916,37.29,33.68,33.35,32.26,1.5
MPC,2012-10-12,36.38,1.86086,3.01139,0.0585,0.0503,37.06,35.15,35.71,35.92,1.5
MPC,2012-10-15,32.57,1.25834,2.73702,0.0754,0.079,37.52,36.57,35.16,34.06,1.5
MPC,2012-10-16,33.58,0.951974,2.70939,0.0779,0.0622,36.01,36.12,34.97,34,1.5
MPC,2012-10-17,32.62,0.979265,2.99842,0.0259,0.0516,34.61,36.66,35.04,33.74,1.4
MPC,2012-10-18,31.73,1.18304,2.8173,0.071,0.0421,34.09,35.56,34.26,33.25,1.5
MPC,2012-10-19,31.39,1.42013,2.19743,0.0704,0.0868,34.31,36.59,34.76,33.36,1.5
MPC,2012-10-22,27.96,1.82523,2.8952,0.1007,0.0506,34.49,35.23,33.24,31.65,1.5
MPC,2012-10-23,33.11,1.64853,3.10677,0.0493,0.0687,35.08,36.54,33.75,34.43,1.5
MPC,2012-10-24,34.21,2.06593,3.30549,0.1104,0.0715,35.54,35.37,34.49,33.8,1.5
MPC,2012-10-25,34.33,1.86083,3.08082,0.0617,0.0966,34.89,35.09,33.62,35.18,1.5
MPC,2012-10-26,32.9,0.823122,3.23122,0.0582,0.0825,33.94,34.73,33.33,33.73,1.4
MPC,2012-10-31,33.81,1.33866,3.70582,0.035,0.057,34.77,35.49,33.87,34.32,1.5
MPC,2012-11-01,31.38,1.67793,2.73379,0.0645,0.0195,34.86,33.17,32.57,32.33,1.5
MPC,2012-11-02,31.98,2.38559,2.83262,0.0757,0.0596,36.45,32.05,32.26,32.49,1.5
MPC,2012-11-05,31.31,2.19875,3.26681,0.0779,0.032,37.36,31.89,30.92,30.74,1.5
